sample ID,soil type,soil rep,treatment plant,row rep,pinyon seed source final,pinyon notes,final germ date,grass planting date,Pre-harvest grass notes,actual harvest date (grass and pinyon),experimental pinyon fresh shoot biomass (g),experimental pinyon dried shoot biomass,experimental pinyon fresh root biomass (g),experimental pinyon dried root biomass,experimental pinyon shoot length,number of grass/conditioning plants,grass/ treatment pinyon fresh shoot biomass (g),grass/ treatment pinyon fresh root biomass (g),conditioning shoot dried biomass,grass dried root biomass
CP-I2-4,intact,2,cheatgrass,4,PRR-11530,,08/20/21,05/24/21,,02/27/22,0.65,0.2075,,,4.5,3,2.91,,0.892,
CP-I3-1,intact,3,cheatgrass,1,PRR-11598,"Found 8/20 while planting, still planted more, second germ 9/22",08/20/21,05/24/21,"Flowering 8/17, cheatgrass set seed 1/6/22 ",02/27/22,0.38,0.1228,,,,3,6.78,,1.761,
CP-I3-2,intact,3,cheatgrass,2,PRR-11559,germ date estimated,06/01/21,05/24/21,,12/09/21,0.37,0.12,0.68,0.21,,3,5.96,10.68,0.858,2.12
CP-I3-3,intact,3,cheatgrass,3,PRR-11530,germ date estimated,06/01/21,05/24/21,,12/10/21,0.36,0.13,1.088,0.27,,2,4.99,15.97,1.031,4.87
CP-I3-4,intact,3,cheatgrass,4,PRR-11570,germ date estimated,06/01/21,05/24/21,,12/10/21,0.52,0.1795,0.51,0.3,,3,2.93,6.76,0.694,0.8
CP-I4-1,intact,4,cheatgrass,1,PRR-11598,second germ 9/22,09/10/21,05/24/21,,03/18/22,0.64,0.2138,,,6,1,4.1,,1.016,
CP-I4-2,intact,4,cheatgrass,2,PRR-11559,germ date estimated,06/01/21,05/24/21,,,0.29,0.13,1.24,0.25,,,,11.25,0.885,2.46
CP-I4-3,intact,4,cheatgrass,3,PRR-11530,germ date estimated,06/01/21,05/24/21,,,0.52,0.24,,,,,,,0.589,
CP-I4-4,intact,4,cheatgrass,4,PRR-11570,germ date estimated,06/01/21,05/24/21,,12/09/21,0.72,0.22,0.53,0.12,,2,3.21,5.98,0.567,0.91
PP-B1-1,burn,1,pinyon,1,PRR-11556,germ date estimated,06/01/21,,,12/09/21,0.91,0.3475,1.329,0.422,,1,1,,,
PP-B1-2,burn,1,pinyon,2,PRR-11598,Only 1 8/6,09/10/21,,,03/18/22,0.89,0.3192,,,5.4,1,0.48,,,
PP-B1-3,burn,1,pinyon,3,PRR-11598,germ date estimated,06/01/21,,,12/10/21,0.69,0.25,0.51,0.15,,1,0.96,,,
PP-B1-4,burn,1,pinyon,4,PRR-11598,"second germ by 8/27, second germ dead 9/29",09/10/21,,,,,,,,,,,,,
PP-B2-1,burn,2,pinyon,1,PRR-11556,germ date estimated,06/01/21,,,12/10/21,1.19,0.43,1.01,0.32,,1,0.81,6.05,,0.79
PP-B2-2,burn,2,pinyon,2,PRR-11598,,09/10/21,,,03/18/22,0.87,0.3026,,,6.4,1,0.73,,,
PP-B2-3,burn,2,pinyon,3,PRR-11598,germ date estimated,06/01/21,,,12/09/21,0.87,0.2594,1.75,0.42,,1,0.65,,,
PP-B2-4,burn,2,pinyon,4,PRR-11530,"second germ by 8/27, second germ dead 9/29",NA,,,,,,,,,,,,,
PP-B3-1,burn,3,pinyon,1,PRR-11598,"0 on 9/10, 1 on 9/22, 1 on 10/13",NA,,,,,,,,,,,,,
PP-B3-2,burn,3,pinyon,2,PRR-11556,,08/06/21,,,02/16/22,0.77,0.3001,,,,1,1.13,,,
PP-B3-3,burn,3,pinyon,3,PRR-11559,,08/17/21,,,,0.55,0.2121,,,2.7,,0.51,,,
PP-B3-4,burn,3,pinyon,4,PRR-11570,germ date estimated,06/01/21,,,12/09/21,0.72,0.24,0.8,0.23,,1,0.68,,,
PP-B4-1,burn,4,pinyon,1,PRR-11559,both plants 8/2,08/02/21,,,02/16/22,0.5,0.1926,,,,1,1.2,,,
PP-B4-2,burn,4,pinyon,2,PRR-11556,,08/17/21,,,,0.81,0.2995,,,5.4,,0.97,,,
PP-B4-3,burn,4,pinyon,3,PRR-11530,germ date estimated,06/01/21,,,12/10/21,1.01,0.3892,1.008,0.401,,1,1.04,,,
PP-B4-4,burn,4,pinyon,4,PRR-11570,germ date estimated,06/01/21,,,12/09/21,1.02,0.34,1.24,0.28,,1,0.92,,,
PP-I1-1,intact,1,pinyon,1,PRR-11556,germ date estimated,06/01/21,,,12/09/21,0.87,0.32,1.16,0.31,,1,1.04,,,
PP-I1-2,intact,1,pinyon,2,PRR-11598,Only 1 on 9/22 & 10/13,NA,,,,,,,,,,,,,
PP-I1-3,intact,1,pinyon,3,PRR-11598,Only 1 8/20,09/10/21,,,03/18/22,0.93,0.3475,,,5.8,1,0.66,,,
PP-I1-4,intact,1,pinyon,4,PRR-11530,,08/17/21,,,12/09/21,0.81,0.263,1.281,0.325,2.5,,0.83,,,
PP-I2-1,intact,2,pinyon,1,PRR-11598,Only 1 on 8/20 & 9/10 & 10/13,NA,,,,,,,,,,,,,
PP-I2-2,intact,2,pinyon,2,PRR-11556,,08/20/21,,,,1.62,0.5735,,,9.3 CM,1,0.81,,,
PP-I2-3,intact,2,pinyon,3,PRR-11598,germ date estimated,06/01/21,,,12/09/21,1.05,0.44,1.69,0.41,,1,1.15,,,
PP-I2-4,intact,2,pinyon,4,PRR-11598,"Only 1 on 8/20, second on 9/22",09/22/21,,,04/06/22,1.5,0.5411,1.278,0.384,5.5,1,0.54,,,
PP-I3-1,intact,3,pinyon,1,PRR-11598,"Only 1 on 8/20, third on 9/22",09/10/21,,,03/18/22,0.82,0.3044,,,5.9,1,1.17,,,
PP-I3-2,intact,3,pinyon,2,PRR-11559,germ date estimated,06/01/21,,,12/09/21,1.13,0.22,1.86,0.39,,,0.61,,,
PP-I3-3,intact,3,pinyon,3,PRR-11598,"Only 1 on 8/20 & 9/10, 3 on 9/22",09/22/21,,,04/06/22,0.5,0.1797,,,4.7,1,2.11,,,
PP-I3-4,intact,3,pinyon,4,PRR-11570,germ date estimated,06/01/21,,,12/09/21,1.99,0.66,1.04,0.32,,,1.2,,,
PP-I4-1,intact,4,pinyon,1,PRR-11598,Only 1 on 8/20,09/10/21,,,03/18/22,0.96,0.342,,,7.5,1,0.91,,,
PP-I4-2,intact,4,pinyon,2,PRR-11598,Only 1 8/20,09/10/21,,,03/18/22,1.42,0.5012,,,8.9,1,0.61,,,
PP-I4-3,intact,4,pinyon,3,PRR-11598,"Only 1 8/20, third on 9/22/21",09/10/21,,,03/18/22,0.63,0.2147,,,5,1,1.94,,,
PP-I4-4,intact,4,pinyon,4,PRR-11570,,06/01/21,,,12/09/21,1.28,0.59,0.93,0.25,,,,,,
